code,title,folder,filename,category,suggestedModule,isoClause,version,extractedDate,confidence,apiState,recommendedAction
,قائمة المراجعة الشهرية,11_الاجراءات_الموحدة_2026,12_قائمة_المراجعة_الشهرية.md,procedure,Document,9.2,12,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,قائمة المراجعة السنوية,11_الاجراءات_الموحدة_2026,13_قائمة_المراجعة_السنوية.md,procedure,Document,9.3,13,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,تحليل الفجوة — الإجراءات الإدارية مقابل نظام إدارة الجودة,11_الاجراءات_الموحدة_2026,20_تحليل_الفجوة_اجراء_مقابل_نظام.md,report,Document,"4.4, 7.5, 8.1, 9.1, 10.3",,2026-04-18,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء فهم سياق المنظمة,11_الاجراءات_الموحدة_2026,P-01_اجراء_فهم_سياق_المنظمة.md,procedure,Document,"4.1, 4.2",1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء سياسة وأهداف الجودة,11_الاجراءات_الموحدة_2026,P-02_اجراء_سياسة_واهداف_الجودة.md,procedure,QualityPolicy,"5.2, 6.2",1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء إدارة المخاطر والفرص,11_الاجراءات_الموحدة_2026,P-03_اجراء_ادارة_المخاطر_والفرص.md,procedure,Document,6.1,1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء ضبط الوثائق والسجلات,11_الاجراءات_الموحدة_2026,P-04_اجراء_ضبط_الوثائق_والسجلات.md,procedure,Document,7.5,1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء الموارد البشرية والكفاءة,11_الاجراءات_الموحدة_2026,P-05_اجراء_الموارد_البشرية_والكفاءة.md,procedure,Document,"7.1.2, 7.2, 7.3",P-05,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء الاتصال الداخلي والخارجي,11_الاجراءات_الموحدة_2026,P-06_اجراء_الاتصال.md,procedure,Document,7.4,P-06,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء التخطيط التشغيلي,11_الاجراءات_الموحدة_2026,P-07_اجراء_التخطيط_التشغيلي.md,procedure,OperationalActivity,8.1,P-07,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء خدمة المستفيدين,11_الاجراءات_الموحدة_2026,P-08_اجراء_خدمة_المستفيدين.md,procedure,Document,"8.2, 8.5, 8.6",P-08,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء إدارة التبرعات,11_الاجراءات_الموحدة_2026,P-09_اجراء_ادارة_التبرعات.md,procedure,Document,8.5,P-09,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء المشتريات والموردين,11_الاجراءات_الموحدة_2026,P-10_اجراء_المشتريات_والموردين.md,procedure,Document,8.4,P-10,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء الشكاوى وقياس الرضا,11_الاجراءات_الموحدة_2026,P-11_اجراء_الشكاوى_والرضا.md,procedure,Document,9.1.2,P-11,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء التدقيق الداخلي,11_الاجراءات_الموحدة_2026,P-12_اجراء_التدقيق_الداخلي.md,procedure,Document,9.2,P-12,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء المراجعة الإدارية,11_الاجراءات_الموحدة_2026,P-13_اجراء_المراجعة_الادارية.md,procedure,Document,9.3,P-13,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء عدم المطابقة والإجراء التصحيحي,11_الاجراءات_الموحدة_2026,P-14_اجراء_عدم_المطابقة_والاجراء_التصحيحي.md,procedure,Document,10.2,P-14,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,إجراء التحسين المستمر,11_الاجراءات_الموحدة_2026,P-15_اجراء_التحسين_المستمر.md,procedure,Document,10.3,P-15,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,الميثاق الأخلاقي ومدوّنة السلوك الوظيفي,14_السياسات_والمواثيق_2026,02_الميثاق_الأخلاقي.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة وإقرار تضارب المصالح,14_السياسات_والمواثيق_2026,03_إقرار_تضارب_المصالح.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,اتفاقية السرية وعدم الإفشاء,14_السياسات_والمواثيق_2026,04_اتفاقية_السرية.md,policy,QualityPolicy,7.4,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة حماية البيانات الشخصية,14_السياسات_والمواثيق_2026,05_سياسة_حماية_البيانات_الشخصية.md,policy,QualityPolicy,7.5,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة الحماية للفئات الضعيفة,14_السياسات_والمواثيق_2026,06_سياسة_الحماية_Safeguarding.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة مكافحة التحرش والتمييز,14_السياسات_والمواثيق_2026,07_سياسة_مكافحة_التحرش.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة مكافحة الفساد والرشوة,14_السياسات_والمواثيق_2026,08_سياسة_مكافحة_الفساد.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة الإبلاغ عن المخالفات,14_السياسات_والمواثيق_2026,09_سياسة_الإبلاغ_عن_المخالفات.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,لائحة العمل الداخلية (دليل الموظف),14_السياسات_والمواثيق_2026,10_لائحة_العمل_الداخلية.md,policy,Document,8.4,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,ميثاق مجلس الإدارة,14_السياسات_والمواثيق_2026,11_ميثاق_مجلس_الإدارة.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,ميثاق حقوق ومسؤوليات المستفيد,14_السياسات_والمواثيق_2026,12_حقوق_ومسؤوليات_المستفيد.md,policy,QualityPolicy,8.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,ميثاق سلوك الموردين,14_السياسات_والمواثيق_2026,13_ميثاق_سلوك_الموردين.md,policy,QualityPolicy,8.4,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,سياسة خصوصية المتبرع,14_السياسات_والمواثيق_2026,14_سياسة_خصوصية_المتبرع.md,policy,QualityPolicy,5.2,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
